Date	Open	High	Low	Close	Volume
2026-04-29 09:43:27.794119	27.09	27.22	26.82	26.95	182159
2026-04-29 10:43:27.794119	27.01	27.25	26.97	27.16	284065
2026-04-29 11:43:27.794119	27.13	27.19	26.91	27.04	290720
2026-04-29 12:43:27.794119	27.08	27.28	26.96	27.18	70658
2026-04-29 13:43:27.794119	27.1	27.21	26.81	26.93	112868
2026-04-30 09:43:27.794119	27.05	27.43	26.94	27.32	245019
2026-04-30 10:43:27.794119	27.42	27.7	27.34	27.66	281632
2026-04-30 11:43:27.794119	27.58	27.7	27.33	27.4	270484
2026-04-30 12:43:27.794119	27.4	27.5	27.27	27.39	46776
2026-04-30 13:43:27.794119	27.32	27.38	27.13	27.16	205793
2026-05-01 09:43:27.794119	27.14	27.27	27.01	27.09	213923
2026-05-01 10:43:27.794119	27.16	27.46	27.09	27.33	74689
2026-05-01 11:43:27.794119	27.34	27.49	27.29	27.36	291627
2026-05-01 12:43:27.794119	27.4	27.59	27.34	27.48	101908
2026-05-01 13:43:27.794119	27.49	27.58	27.39	27.53	178159
2026-05-02 09:43:27.794119	27.53	27.63	27.43	27.52	56179
2026-05-02 10:43:27.794119	27.65	28.01	27.54	27.94	99927
2026-05-02 11:43:27.794119	28.0	28.2	27.95	28.12	286241
2026-05-02 12:43:27.794119	28.11	28.15	28.03	28.08	39383
2026-05-02 13:43:27.794119	28.13	28.34	28.03	28.24	205437
2026-05-03 09:43:27.794119	28.34	28.63	28.22	28.58	71461
2026-05-03 10:43:27.794119	28.52	28.56	28.27	28.39	80173
2026-05-03 11:43:27.794119	28.5	28.87	28.37	28.75	29248
2026-05-03 12:43:27.794119	28.77	28.91	28.72	28.8	255477
2026-05-03 13:43:27.794119	28.88	29.18	28.81	29.06	231082
