Date	Open	High	Low	Close	Volume
2026-04-29 09:43:27.743591	32.08	32.19	31.97	32.01	296574
2026-04-29 10:43:27.743591	32.0	32.04	31.86	31.98	247676
2026-04-29 11:43:27.743591	32.11	32.49	32.05	32.42	48989
2026-04-29 12:43:27.743591	32.49	32.69	32.42	32.65	6413
2026-04-29 13:43:27.743591	32.7	32.87	32.61	32.82	204114
2026-04-30 09:43:27.743591	32.82	32.91	32.75	32.83	175904
2026-04-30 10:43:27.743591	32.92	33.21	32.88	33.12	186341
2026-04-30 11:43:27.743591	33.1	33.26	32.93	33.05	118166
2026-04-30 12:43:27.743591	33.23	33.72	33.08	33.63	54114
2026-04-30 13:43:27.743591	33.67	33.85	33.56	33.76	143241
2026-05-01 09:43:27.743591	33.77	33.87	33.61	33.79	202244
2026-05-01 10:43:27.743591	33.92	34.27	33.8	34.23	13697
2026-05-01 11:43:27.743591	34.2	34.26	34.08	34.12	275145
2026-05-01 12:43:27.743591	34.22	34.58	34.11	34.46	26782
2026-05-01 13:43:27.743591	34.43	34.6	34.22	34.37	246288
2026-05-02 09:43:27.743591	34.43	34.64	34.32	34.56	268601
2026-05-02 10:43:27.743591	34.37	34.49	33.84	33.93	259175
2026-05-02 11:43:27.743591	33.76	33.83	33.27	33.35	227592
2026-05-02 12:43:27.743591	33.46	33.75	33.33	33.7	217576
2026-05-02 13:43:27.743591	33.64	33.71	33.44	33.51	267669
2026-05-03 09:43:27.743591	33.74	34.45	33.59	34.29	101265
2026-05-03 10:43:27.743591	34.2	34.31	33.89	33.99	157379
2026-05-03 11:43:27.743591	33.97	34.13	33.84	33.92	37023
2026-05-03 12:43:27.743591	34.0	34.26	33.95	34.18	15866
2026-05-03 13:43:27.743591	34.15	34.2	34.02	34.07	111872
