Date	Open	High	Low	Close	Volume
2026-04-29 09:43:27.916092	37.69	37.85	37.53	37.58	209882
2026-04-29 10:43:27.916092	37.49	37.62	37.08	37.27	123507
2026-04-29 11:43:27.916092	37.26	37.38	37.09	37.24	92190
2026-04-29 12:43:27.916092	37.17	37.23	36.87	37.02	174922
2026-04-29 13:43:27.916092	37.05	37.27	36.89	37.11	264435
2026-04-30 09:43:27.916092	37.07	37.12	36.92	36.98	215374
2026-04-30 10:43:27.916092	37.02	37.17	36.95	37.11	104434
2026-04-30 11:43:27.916092	37.17	37.36	37.13	37.3	106234
2026-04-30 12:43:27.916092	37.36	37.61	37.25	37.51	172902
2026-04-30 13:43:27.916092	37.7	38.31	37.55	38.13	278539
2026-05-01 09:43:27.916092	38.19	38.5	38.14	38.33	29261
2026-05-01 10:43:27.916092	38.34	38.44	38.26	38.37	251457
2026-05-01 11:43:27.916092	38.28	38.38	37.95	38.07	65322
2026-05-01 12:43:27.916092	38.16	38.48	37.97	38.36	154407
2026-05-01 13:43:27.916092	38.42	38.76	38.34	38.57	49550
2026-05-02 09:43:27.916092	38.55	38.62	38.41	38.51	76346
2026-05-02 10:43:27.916092	38.46	38.6	38.25	38.34	11493
2026-05-02 11:43:27.916092	38.37	38.61	38.18	38.44	220931
2026-05-02 12:43:27.916092	38.36	38.51	38.01	38.19	218884
2026-05-02 13:43:27.916092	38.1	38.15	37.77	37.88	37120
2026-05-03 09:43:27.916092	37.95	38.14	37.9	38.1	22351
2026-05-03 10:43:27.916092	38.16	38.44	38.03	38.29	12517
2026-05-03 11:43:27.916092	38.31	38.45	38.17	38.37	202504
2026-05-03 12:43:27.916092	38.48	38.89	38.34	38.73	48612
2026-05-03 13:43:27.916092	38.76	38.91	38.59	38.82	41418
