Date	Open	High	Low	Close	Volume
2026-04-29 09:43:27.810067	25.77	25.82	25.68	25.72	269853
2026-04-29 10:43:27.810067	25.68	25.74	25.47	25.58	206959
2026-04-29 11:43:27.810067	25.57	25.65	25.46	25.55	33206
2026-04-29 12:43:27.810067	25.56	25.7	25.51	25.59	145484
2026-04-29 13:43:27.810067	25.57	25.6	25.41	25.53	55442
2026-04-30 09:43:27.810067	25.41	25.46	25.03	25.13	104088
2026-04-30 10:43:27.810067	25.07	25.1	24.84	24.91	30294
2026-04-30 11:43:27.810067	24.83	24.91	24.58	24.65	77454
2026-04-30 12:43:27.810067	24.63	24.66	24.54	24.6	111196
2026-04-30 13:43:27.810067	24.5	24.56	24.21	24.27	241432
2026-05-01 09:43:27.810067	24.3	24.46	24.21	24.37	283940
2026-05-01 10:43:27.810067	24.3	24.39	24.08	24.15	211751
2026-05-01 11:43:27.810067	24.14	24.19	24.06	24.13	52732
2026-05-01 12:43:27.810067	24.17	24.37	24.12	24.26	105388
2026-05-01 13:43:27.810067	24.29	24.4	24.24	24.37	150428
2026-05-02 09:43:27.810067	24.42	24.61	24.39	24.54	149333
2026-05-02 10:43:27.810067	24.59	24.76	24.53	24.69	282496
2026-05-02 11:43:27.810067	24.64	24.71	24.44	24.53	257177
2026-05-02 12:43:27.810067	24.5	24.54	24.32	24.44	151713
2026-05-02 13:43:27.810067	24.59	25.02	24.48	24.93	124917
2026-05-03 09:43:27.810067	24.98	25.2	24.95	25.08	97010
2026-05-03 10:43:27.810067	25.08	25.19	24.97	25.07	241431
2026-05-03 11:43:27.810067	25.07	25.11	25.0	25.07	35844
2026-05-03 12:43:27.810067	25.1	25.27	25.0	25.16	200067
2026-05-03 13:43:27.810067	25.09	25.12	24.82	24.93	28172
