Date	Open	High	Low	Close	Volume
2026-04-29 09:43:27.820200	45.44	45.6	45.19	45.29	88388
2026-04-29 10:43:27.820200	45.42	45.8	45.23	45.74	88689
2026-04-29 11:43:27.820200	45.76	45.96	45.69	45.82	270087
2026-04-29 12:43:27.820200	45.84	45.95	45.67	45.9	117586
2026-04-29 13:43:27.820200	46.03	46.45	45.81	46.35	258066
2026-04-30 09:43:27.820200	46.4	46.61	46.35	46.52	49228
2026-04-30 10:43:27.820200	46.48	46.61	46.21	46.4	93787
2026-04-30 11:43:27.820200	46.26	46.46	45.75	45.92	208114
2026-04-30 12:43:27.820200	45.91	45.96	45.79	45.88	236420
2026-04-30 13:43:27.820200	45.97	46.31	45.74	46.16	201381
2026-05-01 09:43:27.820200	46.23	46.53	46.01	46.39	12837
2026-05-01 10:43:27.820200	46.31	46.52	45.9	46.12	159427
2026-05-01 11:43:27.820200	46.09	46.28	45.83	46.01	21385
2026-05-01 12:43:27.820200	46.05	46.33	45.87	46.15	169797
2026-05-01 13:43:27.820200	46.12	46.33	45.99	46.04	288458
2026-05-02 09:43:27.820200	46.11	46.4	46.06	46.29	215103
2026-05-02 10:43:27.820200	46.13	46.22	45.55	45.75	233384
2026-05-02 11:43:27.820200	45.88	46.38	45.69	46.17	183316
2026-05-02 12:43:27.820200	46.11	46.24	45.92	45.98	89495
2026-05-02 13:43:27.820200	46.1	46.55	45.98	46.38	58042
2026-05-03 09:43:27.820200	46.24	46.3	45.71	45.9	233049
2026-05-03 10:43:27.820200	46.0	46.42	45.87	46.22	148286
2026-05-03 11:43:27.820200	46.26	46.44	46.1	46.35	108968
2026-05-03 12:43:27.820200	46.27	46.44	46.01	46.09	60889
2026-05-03 13:43:27.820200	46.28	46.8	46.08	46.72	269889
