Date	Open	High	Low	Close	Volume
2026-04-29 09:43:27.852402	36.79	36.91	36.61	36.79	47614
2026-04-29 10:43:27.852402	36.73	36.78	36.52	36.59	202228
2026-04-29 11:43:27.852402	36.61	36.74	36.51	36.66	70155
2026-04-29 12:43:27.852402	36.67	36.77	36.51	36.7	80543
2026-04-29 13:43:27.852402	36.68	36.8	36.47	36.65	97599
2026-04-30 09:43:27.852402	36.7	36.98	36.57	36.81	192490
2026-04-30 10:43:27.852402	36.69	36.87	36.38	36.42	42179
2026-04-30 11:43:27.852402	36.42	36.47	36.3	36.42	38679
2026-04-30 12:43:27.852402	36.4	36.51	36.26	36.34	158730
2026-04-30 13:43:27.852402	36.43	36.74	36.36	36.62	142859
2026-05-01 09:43:27.852402	36.33	36.5	35.61	35.66	141942
2026-05-01 10:43:27.852402	35.61	35.76	35.41	35.5	87146
2026-05-01 11:43:27.852402	35.61	35.96	35.57	35.86	45786
2026-05-01 12:43:27.852402	35.96	36.26	35.81	36.19	72866
2026-05-01 13:43:27.852402	36.1	36.17	35.72	35.89	148991
2026-05-02 09:43:27.852402	35.77	35.92	35.36	35.48	196169
2026-05-02 10:43:27.852402	35.66	36.2	35.61	36.07	179233
2026-05-02 11:43:27.852402	36.11	36.35	36.01	36.21	45174
2026-05-02 12:43:27.852402	36.18	36.33	35.93	36.1	233735
2026-05-02 13:43:27.852402	36.13	36.34	36.02	36.21	29447
2026-05-03 09:43:27.852402	36.2	36.35	36.05	36.19	134595
2026-05-03 10:43:27.852402	36.37	36.96	36.24	36.78	12673
2026-05-03 11:43:27.852402	36.85	37.14	36.8	37.0	129751
2026-05-03 12:43:27.852402	36.98	37.08	36.84	36.92	254908
2026-05-03 13:43:27.852402	36.91	36.97	36.82	36.88	256354
