Date	Open	High	Low	Close	Volume
2026-04-29 09:43:27.931894	44.28	44.48	43.83	43.89	119736
2026-04-29 10:43:27.931894	44.16	44.96	43.95	44.8	18762
2026-04-29 11:43:27.931894	44.71	44.89	44.36	44.51	259934
2026-04-29 12:43:27.931894	44.4	44.48	44.02	44.15	78754
2026-04-29 13:43:27.931894	43.95	44.08	43.35	43.49	51613
2026-04-30 09:43:27.931894	43.44	43.49	43.22	43.31	123466
2026-04-30 10:43:27.931894	43.35	43.58	43.27	43.44	218826
2026-04-30 11:43:27.931894	43.34	43.4	42.96	43.09	16680
2026-04-30 12:43:27.931894	43.06	43.23	42.95	43.0	38342
2026-04-30 13:43:27.931894	43.06	43.24	42.96	43.2	155043
2026-05-01 09:43:27.931894	43.28	43.59	43.16	43.45	252424
2026-05-01 10:43:27.931894	43.39	43.5	43.13	43.27	126995
2026-05-01 11:43:27.931894	43.05	43.18	42.44	42.55	213034
2026-05-01 12:43:27.931894	42.67	43.02	42.53	42.95	207277
2026-05-01 13:43:27.931894	42.86	42.96	42.59	42.66	85964
2026-05-02 09:43:27.931894	42.71	43.02	42.6	42.84	17349
2026-05-02 10:43:27.931894	42.73	42.81	42.4	42.48	69531
2026-05-02 11:43:27.931894	42.37	42.43	42.05	42.12	160029
2026-05-02 12:43:27.931894	42.22	42.58	42.15	42.47	186983
2026-05-02 13:43:27.931894	42.59	43.09	42.42	42.88	293760
2026-05-03 09:43:27.931894	42.89	42.96	42.76	42.91	125227
2026-05-03 10:43:27.931894	42.88	42.99	42.59	42.8	222552
2026-05-03 11:43:27.931894	42.66	42.73	42.25	42.33	158970
2026-05-03 12:43:27.931894	42.36	42.57	42.16	42.42	21123
2026-05-03 13:43:27.931894	42.33	42.53	41.92	42.1	186165
